Year,N Tanzania - Kenya,Seychelles North,N Mozambique - S Tanzania,Seychelles Outer,Comoros,North Madagascar,East Madagascar,West Madagascar,Mascarene Isl,Delagoa,South Madagascar
2006,0.0008,0.0599,0.0693,0.2113,0.1885,0.0231,0.0907,0.0223,0,0,0.0059
2007,0,0,0.0126,0.0195,0,0,0.0326,0.0027,0.0439,0,0.0081
2008,0.0068,0.4381,0.0004,0.4044,0.2194,0.4507,1.4792,0.028,0.5828,0.0055,0.3373
2009,0.1296,0.176,0.0343,0.6853,0.5841,0.7285,1.7419,0.0543,0.6275,0.0055,0.3367
2010,0.1805,0.3273,0.1513,0.132,0.3973,0.1855,0.0596,0.0159,0.0318,0.0017,0.072
2011,0.0193,0.018,0.0861,0.3581,0.3198,0.1333,0.4304,0.3779,0.7554,0.0442,0.9582
2012,0.4373,0.9142,0.0643,0.5283,0.0015,0.0139,0.479,0.1597,0.8663,0.0442,0.6772
2013,0,0.5948,0.0359,0.3844,0.2482,0.2492,1.0265,0.576,0.5974,0.7282,1.2835
2014,0.6156,0.7139,0.424,1.0487,0.9243,0.8715,1.6288,0.7408,0.6827,0.7913,1.7016
2015,0.1678,0.5606,0.1484,0.5426,0.5311,0.5064,0.5299,0.6373,0.3421,0.3429,1.7014
2016,0.3097,0.8462,0.0807,0.6869,0.498,0.5751,0.9783,0.3529,0.8789,0.3586,1.2154
2017,0.1781,0.7178,0.1839,1.2405,0.8461,0.7148,1.806,0.5907,1.1421,0.2832,1.9936
2018,0.5104,0.4531,0.3146,1.0049,1.2436,1.2394,1.6978,0.8403,1.7938,0.7162,2.681
2019,0.7023,1.0623,0.5565,0.9117,0.9032,0.7879,1.4655,0.8022,1.1633,0.7239,1.7092
2020,0.0476,0.1938,0.1853,0.6581,0.3033,0.1435,1.2803,1.0411,1.2967,0.8136,2.5105
2021,1.1586,1.963,0.9359,1.1013,1.6175,1.0076,1.7434,1.2572,1.0347,0.9454,2.8882
2022,1.1363,1.1875,0.2959,1.5573,0.3483,0.9118,1.2688,0.5535,0.5201,0.3749,2.0895
2023,0.3175,1.3428,0.7823,0.3051,0.306,0.1703,0.8854,0.7636,0.672,0.7391,1.6701
2024,0.9144,1.6635,0.6442,1.1011,0.8033,0.6356,2.0471,0.6785,0.9011,0.3595,2.0004
2025,0.8539,1.7348,1.0706,2.1577,1.2813,1.2886,2.5856,1.25,1.2544,0.808,1.742
2026,0.8196,1.879,0.4911,1.6529,1.8076,2.1803,2.4543,1.5806,1.368,0.9689,3.0723
2027,0.942,1.2796,0.8529,2.2218,1.9742,2.2039,2.8733,1.6726,2.0311,0.8188,3.841
2028,1.8636,2.9986,1.5068,3.3559,2.7856,2.5663,3.637,0.7895,2.701,0.6292,1.9265
2029,0.9281,1.8554,0.7888,1.7747,1.5217,1.4154,2.7436,1.1438,1.4805,0.4909,2.4471
2030,0.5994,1.4733,0.6449,1.4053,1.1943,1.3386,1.9678,1.3277,1.7729,1.0648,3.0054
2031,1.0868,2.7955,0.9179,3.6645,3.0859,2.8659,3.134,1.5787,3.0219,1.5474,3.8009
2032,2.2051,3.4454,2.1282,4.8556,4.2997,4.0935,4.5991,1.6404,4.5792,2.2499,2.832
2033,1.1069,1.7434,1.821,2.7902,3.3866,3.1416,4.4519,2.4015,4.0892,1.8088,4.7282
2034,2.4786,4.3919,2.8676,5.2657,4.8541,3.9444,4.7494,3.2073,5.9012,1.7856,6.626
2035,2.5477,3.0035,2.336,3.6865,3.8522,4.1643,4.8555,3.8589,3.794,2.5687,5.0735
2036,0.9187,1.4388,0.4884,1.3857,0.7213,0.5592,1.7369,1.1541,1.2747,1.3138,2.3945
2037,0.6139,1.7501,0.6047,2.2537,1.3309,1.4988,3.6199,2.6328,3.1512,1.5014,4.9041
2038,1.7483,2.4013,1.8239,4.4455,3.4812,3.4877,5.4643,3.1176,4.7985,2.6734,6.5691
2039,3.3899,4.0164,3.0016,5.6611,5.0995,4.3952,5.8463,3.7159,5.4639,4.0034,6.2991
2040,2.5008,2.3069,1.9702,3.391,3.4923,3.9838,4.5717,4.0982,3.3229,2.491,5.7724
2041,1.948,3.199,1.6412,3.8621,3.0931,3.1947,5.3874,4.2781,4.4864,3.6579,6.5171
2042,3.5228,5.2814,4.5769,6.0928,6.4176,5.4954,6.2908,6.2589,5.5534,5.2889,7.948
2043,2.2459,2.9895,1.9154,4.2713,3.8362,4.4381,5.9668,2.9101,4.2216,2.6046,5.2605
2044,3.6539,3.992,4.1863,5.7036,5.8908,5.4906,7.0967,3.9525,4.1382,3.559,6.6016
2045,2.6097,3.689,2.0571,5.4029,3.8325,4.0768,5.9965,2.4638,4.677,2.8719,4.9938
2046,1.8449,2.5725,1.4022,4.0071,2.9046,3.6379,5.5983,3.5855,4.2714,2.8758,5.441
2047,3.8364,5.589,4.183,5.717,6.5421,5.4988,6.3906,5.1741,6.4843,4.2844,7.5949
2048,3.4085,4.1717,4.238,5.3145,5.8612,5.3345,6.5396,4.4444,4.3157,3.5843,6.0546
2049,4.2531,5.044,4.583,4.6172,5.6533,5.34,6.0501,6.0067,4.2357,5.2872,7.6846
2050,4.3373,5.9982,4.9509,7.741,7.9014,7.8581,9.1804,6.9142,6.948,5.4354,10.3713
2051,3.6489,4.7641,4.0581,5.523,6.0644,5.5913,6.646,3.44,4.7268,3.4173,6.1398
2052,3.8343,4.4006,3.244,5.7834,5.4116,5.1173,6.6974,4.7222,6.0737,4.0855,7.5496
2053,4.4136,5.6932,4.8426,8.3172,8.302,7.8245,7.5922,6.4243,5.8195,4.7874,8.2382
2054,4.8274,5.9244,4.5172,7.1664,5.9662,5.5563,6.8194,5.2935,5.7113,5.7085,7.4335
2055,4.7894,6.8448,5.0309,8.3407,6.5486,6.3909,8.4553,5.1938,7.8608,3.8402,7.7531
2056,4.9029,5.1964,5.173,6.7691,7.1796,7.5754,8.9153,7.6512,7.8101,6.0829,9.8328
2057,3.7787,4.5523,3.2685,5.7881,5.3677,5.9301,6.9419,5.623,5.3898,4.1458,8.7201
2058,4.9204,7.4901,6.8312,9.3676,9.9988,8.8628,8.9585,6.746,7.2188,5.7545,7.8386
2059,4.6942,7.1834,5.3898,8.1233,7.1348,7.663,9.8699,6.2565,9.2758,4.8008,9.6156
2060,2.9921,4.8883,3.3719,6.8872,5.5365,6.0656,8.0586,7.147,8.0299,5.4968,9.7689
2061,5.866,7.9074,7.3286,8.6888,9.1155,8.7737,11.5846,8.0355,10.0069,7.0476,11.8439
2062,5.8191,7.9997,7.1323,9.5864,9.7857,9.2555,11.38,7.1369,10.4387,7.4924,11.6979
2063,6.0331,6.9247,6.3345,8.8427,8.2031,8.9579,10.3941,6.718,9.4441,5.072,10.7152
2064,5.9102,7.7979,6.3716,8.1473,7.6575,7.6545,8.1711,8.1606,6.3323,6.9634,9.5814
2065,6.6239,8.8022,7.1901,9.2407,9.5441,9.5873,10.6357,8.7872,8.9558,6.2343,11.5824
2066,5.4506,7.3797,6.6798,9.4185,8.7197,9.3167,9.2597,8.8654,7.9179,6.9701,11.2227
2067,9.0434,10.2984,9.6021,10.5651,10.8543,9.779,10.833,9.3531,11.7132,8.9234,11.8397
2068,8.4561,10.3809,10.0527,11.8642,12.2399,11.0708,12.7151,10.2626,13.2446,9.1368,13.836
2069,5.4703,6.533,7.562,9.9595,10.344,9.5159,10.3497,8.6161,9.8549,8.7637,11.3422
2070,7.3383,8.017,8.1373,9.2066,9.529,9.4715,9.9959,10.3837,8.3653,9.3149,12.2848
2071,7.7916,9.5422,10.097,10.7477,12.0657,11.528,12.9311,11.6733,11.0819,10.6051,13.6111
2072,7.9913,8.8779,9.2322,10.8566,11.7533,11.1916,11.7171,10.3772,9.8557,8.1206,12.139
2073,9.5606,10.8874,9.5807,11.1428,10.8118,9.5359,10.8,9.698,11.7916,7.9459,12.5179
2074,9.2931,9.7337,9.7869,11.1316,11.365,10.8277,12.6535,10.3961,11.8884,8.7249,13.3523
2075,9.1441,10.8461,9.8486,12.0982,12.1842,10.8043,11.7112,10.199,10.6356,10.4359,13.2939
2076,7.6171,10.3769,7.5832,10.7028,9.7649,9.4599,11.7379,10.7457,11.4254,9.8479,13.9743
2077,10.367,11.2254,11.4946,12.194,13.5617,13.1233,13.96,12.949,11.5993,10.4485,15.3733
2078,9.313,10.8552,10.4215,12.7531,13.0452,12.7215,13.1254,11.2065,10.5223,9.7432,14.7304
2079,9.2447,11.614,9.7151,13.3532,12.0569,11.5088,13.1699,10.4512,11.8009,9.7266,12.3882
2080,11.8794,14.9755,13.1404,16.3924,17.0155,15.9389,15.7189,13.0469,15.6848,12.2289,16.636
2081,8.6416,11.0366,10.2443,11.9687,12.9025,12.2757,13.0045,12.2178,13.3154,12.0932,15.1367
2082,9.7698,11.2303,10.983,12.8327,13.8931,13.8628,14.5413,12.651,11.7059,11.3067,15.7499
2083,10.2905,11.8076,10.6086,13.4981,13.6676,14.2357,15.2979,13.0714,12.174,11.9309,15.4486
2084,10.7474,13.757,11.2877,14.2817,13.954,12.9824,13.7502,13.7044,14.3871,11.7937,16.9805
2085,15.2703,16.4676,14.0338,16.9868,16.5391,15.5169,17.4737,13.983,17.0619,12.7805,18.2779
2086,12.2709,12.4293,13.2518,13.8882,15.1187,14.7188,15.3301,14.2131,13.5428,12.0264,16.7074
2087,11.2045,12.5436,13.2677,14.0345,15.8736,15.4567,15.5694,16.3605,12.7571,13.3995,18.2356
2088,11.1425,13.4342,12.9477,14.5882,15.4392,14.9439,14.7542,15.6404,12.5242,14.1139,16.975
2089,11.7909,14.3506,13.2163,17.0093,15.9345,15.6903,15.9382,13.8494,14.6924,12.9023,16.7574
2090,12.6038,14.7585,12.5748,15.1721,14.3859,13.9308,16.0826,13.9368,14.5957,12.4468,17.2245
2091,14.1728,15.8079,15.7333,16.6749,17.1945,15.8104,16.4316,14.4297,14.886,11.859,17.5878
2092,14.2887,14.5782,14.3454,14.4078,16.162,14.3462,15.2902,13.3334,13.9669,13.1446,16.849
2093,13.9194,16.4583,14.3158,17.0983,16.2631,16.0934,17.476,15.3385,17.7362,13.4356,17.7949
2094,12.9788,14.9139,13.4974,15.1522,16.0867,15.5103,16.2418,14.5872,14.5689,13.5888,16.685
2095,15.0471,17.7721,16.0052,18.421,18.8227,17.904,17.4656,16.0029,16.7108,13.2866,18.245
2096,15.4852,16.9176,15.9965,18.5762,18.0689,17.1833,19.1484,16.1821,18.3216,14.2706,20.533
2097,13.2042,15.2039,14.1851,16.7503,15.8782,15.9199,17.9285,14.9545,17.7073,13.3679,17.9216
